tag,mode,vid,method,seed,tau,lambda_prox,ws_weight,source_checkpoint,pruned_artifact,dh_params_before,dh_params_after,dh_params_reduction_pct,dh_bytes_before,dh_bytes_after,flops_before,flops_after,latency_ms_before,latency_ms_after,requested_budget_params,psnr_seen_dense,psnr_seen_pruned,max_abs_output_diff,verdict
pcd_conv_tau0.5_lprox5e+01_seed1,exact,bunny_smoke,pcd,1,0.5,50.0,,output/smoke/bunny_smoke/2_2_3_e5_size0.35M_L2\pcd_conv_tau0.5_lprox5e+01_seed1_model_latest.pth,output/smoke/bunny_smoke/2_2_3_e5_size0.35M_L2\pruned\pcd_conv_tau0.5_lprox5e+01_seed1_exact_pruned.pth,346450,151784,56.1888,1390457,611833,1564901760,22852992,11.398,2.798,,11.1894,11.1894,0.000e+00,"EXACT-EQUIVALENT PRUNE: PSNR gap 0.00e+00 dB (tol 0.001), max output diff 0.000e+00, decoder+head 56.19% smaller"
baseline_seed1,budget,bunny_smoke,baseline,1,,,,output/smoke/bunny_smoke/2_2_3_e5_size0.35M_L2\baseline_seed1_model_latest.pth,output/smoke/bunny_smoke/2_2_3_e5_size0.35M_L2\pruned\baseline_seed1_budget_pruned.pth,346450,170336,50.8339,1390457,686009,1564901760,44280192,11.961,3.435,173225,16.3047,11.1728,4.751e-01,"BUDGET PRUNE: decoder+head 346,450 -> 170,336 (50.83% reduction, requested 173,225, reached=True), PSNR 16.30 -> 11.17 dB (-5.13); fine-tune with --init_artifact to recover"
